b.bbl,b.address,comp-1,comp-2,comp-3,node,o.name
1009681089,630 1 AVENUE 9F NYC NY 10016,1.1810818e-06,1.153632e-06,-4.3872313e-07,property,
1008941912,71 PARK AVENUE 3D NYC NY 10016,1.5095497e-06,6.490067e-06,-8.1537996e-07,property,
1008941843,155 EAST 38 STREET 16C NYC NY 10016,9.925386e-07,8.087095e-07,-5.7893203e-07,property,
1823150011,14 PENN PLAZA  NYC NY 10001,1.2354948e-06,1.891043e-06,-6.9983287e-07,property,
1009390027,,1.2512722e-06,5.6659646e-06,6.193482e-07,property,
1003480072,,-2.2656889e-06,8.2259163e-07,6.5682334e-06,property,
1014910007,,1.0236013e-06,2.596004e-06,-3.7287577e-08,property,
1008090008,,1.2084284e-06,4.6749055e-06,2.4828455e-06,property,
1008827501,,7.675767e-07,1.9231384e-06,1.2084932e-06,property,
1008040001,,1.4523603e-06,3.85648e-06,-7.8216397e-07,property,
1013141165,235 EAST 40 STREET 19E NYC NY 10016,1.4590158e-06,1.7603165e-06,-2.6892526e-06,property,
1008681681,425 5 AVENUE OFF-5 NYC NY 10016,1.5820848e-06,5.3567273e-06,-1.4012764e-06,property,
1009441020,311 EAST 38 STREET 5A NYC NY 10016,1.2149227e-06,3.802695e-06,-4.876385e-07,property,
1008881044,157 EAST 32 STREET 11D NYC NY 10016,1.2456247e-06,6.4592956e-07,-3.5868973e-06,property,
1009121164,200 EAST 32 STREET 27B NYC NY 10016,3.3431294e-07,-7.737126e-07,-5.745353e-07,property,
1007650015,,1.5255895e-06,5.466744e-07,1.9666059e-06,property,
1009681211,630 1 AVENUE 17S NYC NY 10016,1.2393326e-06,-2.5246854e-06,7.542178e-07,property,
1006090163,,-2.0791117e-06,-2.0116508e-06,1.0458432e-06,property,
1008880021,,5.242107e-06,8.378082e-06,-6.957208e-07,property,
1007781039,261 WEST 28 STREET 8D NYC NY 10001,6.984355e-07,4.971767e-07,-4.067013e-08,property,
1009431564,330 EAST 38 STREET 39M NYC NY 10016,1.1247976e-06,4.0515197e-06,-1.7838913e-06,property,
1008941813,155 EAST 38 STREET 12C NYC NY 10016,1.1340106e-06,2.7470633e-05,-3.2682824e-06,property,
1007221031,420 WEST 25 STREET 4C NYC NY 10001,1.5750186e-06,2.3149055e-06,1.1462971e-06,property,
1008681285,80 PARK AVENUE 7K NYC NY 10016,1.3030038e-06,2.5140057e-06,7.447869e-07,property,
1008930036,155 EAST 37 STREET  NYC NY 10016,1.3359473e-06,4.086437e-06,-3.9564378e-07,property,
1007590024,329 WEST 35 STREET  NYC NY 10001,7.0208853e-06,1.7046901e-05,-5.741498e-06,property,
1008621324,325 5 AVENUE 10C NYC NY 10016,1.1879789e-06,-4.7611843e-07,-1.5486992e-06,property,
1008661093,30 EAST 37 STREET 11E NYC NY 10016,2.2794238e-06,3.135051e-06,2.815258e-06,property,
1009201101,250 EAST 40 STREET 20A NYC NY 10016,1.0836878e-06,9.1475385e-07,-9.082066e-07,property,
1006210010,,1.3385425e-06,-5.726937e-06,2.3544121e-06,property,
1007741005,252 7 AVENUE COMM5 NYC NY 10001,1.1370203e-06,-2.8791137e-06,-1.0113133e-06,property,
1008950016,123 EAST 39 STREET  NYC NY 10016,1.237199e-06,-1.5727248e-06,-3.3598397e-07,property,
1007741034,252 7 AVENUE 4C NYC NY 10001,-8.4617466e-07,4.4906972e-07,-5.620059e-06,property,
1013141139,235 EAST 40 STREET 16I NYC NY 10016,1.038801e-06,-2.6382877e-06,8.259445e-07,property,
1008921075,150 EAST 37 STREET 12A NYC NY 10016,9.681863e-07,7.546826e-07,-8.038197e-07,property,
1010730040,,1.0658505e-06,5.3668587e-06,4.1778253e-07,property,
1008601207,127 MADISON AVENUE 7 NYC NY 10016,2.2699414e-06,1.4790587e-06,-1.3207673e-06,property,
1012750011,13 EAST 40 STREET  NYC NY 10016,1.7288871e-06,2.3078433e-06,-3.0706901e-06,property,
1013141173,235 EAST 40 STREET 20C NYC NY 10016,1.788544e-07,1.0850952e-05,9.129259e-06,property,
1021700560,,-2.092429e-08,1.434221e-06,-5.3017607e-07,property,
1008010060,132 WEST 26 STREET  NYC NY 10001,1.4019024e-06,1.195622e-05,3.4319528e-06,property,
1013141343,235 EAST 40 STREET 39C NYC NY 10016,8.6907113e-07,-3.898731e-06,2.1417804e-06,property,
1009101006,250 EAST 30 STREET 3F NYC NY 10016,1.0340303e-06,1.8667185e-06,-6.537457e-06,property,
1008861147,159 EAST 30 STREET 18B NYC NY 10016,7.131995e-07,1.3693892e-08,-2.9085172e-06,property,
1008691066,445 5 AVENUE 17E NYC NY 10016,1.5230437e-06,1.975556e-06,1.5768525e-07,property,
1004060063,,1.1553356e-06,4.44234e-06,-3.7621653e-06,property,
1008300011,47 WEST 28 STREET  NYC NY 10001,1.0623359e-06,-1.025061e-06,-2.0456232e-06,property,
1009681031,630 1 AVENUE 5M NYC NY 10016,2.235738e-07,1.2444101e-06,-8.686732e-07,property,
1822050111,400 11 AVENUE  NYC NY 10001,1.4223814e-06,-1.0752459e-06,8.199596e-07,property,
1009121114,200 EAST 32 STREET 10A NYC NY 10016,-5.152626e-07,2.4196333e-06,8.91373e-06,property,
1007797501,,8.220944e-06,-7.5662165e-06,5.15734e-06,property,
1009120013,221 EAST 31 STREET  NYC NY 10016,2.2317229e-06,1.3060946e-06,4.4346763e-07,property,
1008011103,150 WEST 26 STREET 202 NYC NY 10001,1.719276e-06,5.400905e-06,-4.265832e-06,property,
1008591033,11 EAST 29 STREET 17C NYC NY 10016,1.2805439e-06,-1.6680195e-07,-1.7588121e-06,property,
1007741198,252 7 AVENUE 10K NYC NY 10001,1.1447363e-06,2.42868e-06,2.8007273e-06,property,
1009431925,308 EAST 38 STREET 6F NYC NY 10016,1.1657044e-06,1.5759541e-06,-1.2642303e-06,property,
1008370009,57 WEST 35 STREET  NYC NY 10001,1.2154545e-06,8.421637e-06,2.4486135e-06,property,
1008031140,301 7 AVENUE PHA NYC NY 10001,1.4148854e-06,6.0305683e-06,-1.3480278e-06,property,
1014360044,,1.2558636e-06,-6.755574e-07,-6.091325e-07,property,
1008031042,315 7 AVENUE 10C NYC NY 10001,1.3757755e-06,8.749071e-07,1.2573565e-06,property,
1004020056,,1.225556e-06,5.707454e-07,-2.5802374e-06,property,
1007791025,252 WEST 30 STREET 15 NYC NY 10001,9.829497e-07,1.0523949e-06,1.3875405e-06,property,
1009361091,333 EAST 30 STREET 7-G NYC NY 10016,1.6136858e-06,-4.4717035e-06,8.92972e-07,property,
1008681325,80 PARK AVENUE 10H NYC NY 10016,9.818799e-07,2.125388e-06,6.1055324e-08,property,
1008631159,172 MADISON AVENUE 23B NYC NY 10016,1.5466369e-06,7.28902e-06,2.8998954e-09,property,
1009364067,330 EAST 33 STREET 5-L NYC NY 10016,1.1235885e-06,4.845066e-08,-2.1658009e-06,property,
1009171111,201 EAST 36 STREET 19B NYC NY 10016,1.506569e-06,4.4066724e-07,-4.932731e-07,property,
1014270043,,1.2823257e-06,3.6652766e-06,-1.0966016e-06,property,
1008090062,130 WEST 34 STREET  NYC NY 10001,7.9905567e-07,-6.498619e-06,-4.89959e-06,property,
1008951016,104 EAST 40 STREET 203 NYC NY 10016,1.0117997e-06,1.070664e-06,-5.057654e-07,property,
1009361076,333 EAST 30 STREET 6-F NYC NY 10016,9.123608e-07,1.0972585e-06,-7.8761093e-07,property,
1017180016,,9.828796e-07,-2.6251374e-07,-2.8338454e-06,property,
1008691150,445 5 AVENUE 28G NYC NY 10016,-3.0125724e-07,6.163965e-06,2.1442268e-06,property,
1009440001,310 EAST 38 STREET  NYC NY 10016,1.1804749e-06,9.60946e-07,2.5282081e-06,property,
1009120045,,1.3153234e-06,9.315103e-07,-6.4610504e-07,property,
1008881020,157 EAST 32 STREET 6B NYC NY 10016,4.4922444e-08,-1.824349e-06,7.906639e-07,property,
1009351074,350 EAST 30 STREET 3N NYC NY 10016,8.0004804e-07,-1.1977778e-05,-1.40323e-05,property,
1008050007,155 WEST 29 STREET  NYC NY 10001,1.1261557e-06,1.5390948e-06,-5.0676164e-07,property,
1009691168,415 EAST 37 STREET 19A NYC NY 10016,1.6448813e-06,5.402686e-06,-4.5458537e-06,property,
1008031078,315 7 AVENUE 18E NYC NY 10001,7.6029573e-07,1.0629848e-06,-4.0565993e-08,property,
1015690001,,1.8477239e-06,1.9019785e-06,-1.5730989e-06,property,
1008901100,155 EAST 34 STREET 6T NYC NY 10016,1.0306156e-06,-1.5703806e-06,6.5750453e-07,property,
1009364137,330 EAST 33 STREET 10-L NYC NY 10016,3.7535044e-06,6.4310115e-07,5.668035e-07,property,
1006991222,540 WEST 28 STREET 4C NYC NY 10001,1.1126675e-06,1.26101e-06,2.3732578e-06,property,
1008681651,425 5 AVENUE 40C NYC NY 10016,1.6300509e-06,-1.3072203e-06,7.350441e-08,property,
1021800157,,1.0688959e-06,-7.139063e-06,1.5170792e-06,property,
1009190055,,2.918364e-06,-1.1226924e-06,-3.2983212e-06,property,
1008890053,,1.9336949e-06,-1.5403792e-05,-7.938071e-06,property,
1007220041,,7.189217e-07,6.1851315e-06,1.3789531e-06,property,
1009431218,330 EAST 38 STREET 18O NYC NY 10016,1.2045039e-06,2.8621798e-06,3.6339455e-07,property,
1008571035,241 5 AVENUE 14A NYC NY 10016,1.5020273e-06,3.6402391e-06,-6.4130273e-07,property,
1007741322,252 7 AVENUE 17C NYC NY 10001,1.1142864e-06,3.4592745e-06,3.696137e-07,property,
1008681674,425 5 AVENUE 44E NYC NY 10016,1.3128969e-06,1.3532874e-06,-1.10546296e-07,property,
1008861269,127 EAST 30 STREET 18B NYC NY 10016,2.6549178e-06,-8.871212e-06,-1.8123374e-06,property,
1013141032,235 EAST 40 STREET 5A NYC NY 10016,1.7231122e-06,7.3451174e-06,-3.2125354e-06,property,
1009111043,250 EAST 31 STREET 2B NYC NY 10016,1.9190402e-06,9.754015e-07,-1.8962692e-06,property,
1005720022,,8.4769795e-07,-6.9587963e-07,1.1933323e-06,property,
1009431961,308 EAST 38 STREET 12F NYC NY 10016,1.4994939e-06,3.5516214e-06,5.1102443e-06,property,
1003980018,,7.9453685e-08,2.5488243e-06,9.104984e-06,property,
1009181001,240 EAST 38 STREET ABS NYC NY 10016,2.637928e-06,2.0202617e-06,1.3382912e-06,property,
1009140055,210 EAST 34 STREET  NYC NY 10016,7.0995213e-07,1.6248605e-06,-8.3352506e-07,property,
1015350013,,5.0789e-07,9.54818e-07,2.0758976e-06,property,
1008691052,445 5 AVENUE 15F NYC NY 10016,1.5087156e-06,-2.3246866e-05,-4.193364e-07,property,
1006971019,543 WEST 25 STREET PH2 NYC NY 10001,-5.514049e-07,7.861883e-07,4.659675e-07,property,
1008941811,155 EAST 38 STREET 12A NYC NY 10016,4.1796537e-07,4.6343453e-07,-7.108043e-06,property,
1009190034,713 2 AVENUE  NYC NY 10016,1.533292e-06,6.886691e-06,1.3705916e-06,property,
1008621293,325 5 AVENUE S91 NYC NY 10016,1.1886804e-06,7.4561996e-07,-1.1635666e-06,property,
1008890062,138 EAST 34 STREET  NYC NY 10016,1.1714485e-06,1.0626587e-07,-2.2277705e-07,property,
1009364081,330 EAST 33 STREET 6-L NYC NY 10016,1.3309615e-06,8.0777363e-07,1.475775e-06,property,
1009681275,630 1 AVENUE 21S NYC NY 10016,9.472982e-07,1.1741597e-06,-1.4577928e-06,property,
1008861143,159 EAST 30 STREET 16B NYC NY 10016,2.224482e-06,3.4080554e-07,1.2941678e-06,property,
1009431351,330 EAST 38 STREET 26O NYC NY 10016,8.934751e-07,8.869465e-06,-6.539067e-07,property,
1002740004,,9.356146e-07,1.0798284e-06,-2.2679934e-07,property,
1009361049,333 EAST 30 STREET 4-G NYC NY 10016,1.3075777e-06,3.3546976e-06,-8.762636e-07,property,
1009361216,333 EAST 30 STREET 17-F NYC NY 10016,3.229181e-08,6.5811846e-06,-6.5247303e-07,property,
1004100043,,1.0237432e-06,-3.660004e-06,9.782598e-07,property,
1013141215,235 EAST 40 STREET 24H NYC NY 10016,1.4209809e-06,4.0481173e-06,1.679446e-08,property,
1009081017,200 EAST 28 STREET 3E NYC NY 10016,2.0336906e-06,2.1634755e-06,3.8428834e-06,property,
1007531135,308 WEST 30 STREET 7A NYC NY 10001,1.4731784e-06,2.0190166e-06,1.6607455e-06,property,
1008071102,885 AVENUE OF THE AMER ROU NYC NY 10001,1.0532082e-06,1.9417357e-06,-1.1189386e-06,property,
1009090013,225 EAST 28 STREET  NYC NY 10016,1.8392939e-06,9.859963e-06,-1.0400405e-06,property,
1013230034,,8.020445e-07,-2.8807967e-06,-7.2662065e-06,property,
1004890025,,-4.180309e-06,-5.9791705e-07,-3.8442204e-06,property,
1009447502,673 1 AVENUE  NYC NY 10016,1.1962547e-06,6.6216364e-07,-2.9825787e-07,property,
1008871015,107 EAST 31 STREET 9A NYC NY 10016,1.5749486e-06,3.4256032e-06,-1.3131709e-06,property,
1008661276,11 EAST 36 STREET CS6 NYC NY 10016,1.2999177e-06,-2.1710582e-06,8.110541e-08,property,
1008621542,325 5 AVENUE 42E NYC NY 10016,1.3212451e-06,2.795383e-06,2.668401e-06,property,
1008580008,,1.151917e-06,7.81804e-06,2.5789666e-06,property,
1009401156,333 EAST 34 STREET 12G NYC NY 10016,1.8375606e-06,-1.4920278e-07,-5.4517596e-07,property,
1008941735,155 EAST 38 STREET 5B NYC NY 10016,1.2482028e-06,1.6863233e-06,-2.79798e-06,property,
1008941819,155 EAST 38 STREET 12J NYC NY 10016,-5.5737115e-07,-2.5427516e-06,7.6106653e-06,property,
